actual,predicted,error,abs_error
893189.4999999995,324591.1950590772,568598.3049409224,568598.3049409224
1013564.9499999994,445093.5596502324,568471.3903497669,568471.3903497669
1106431.5500000005,539221.7153411332,567209.8346588673,567209.8346588673
446453.67,1013551.1094652994,-567097.4394652995,567097.4394652995
153482.48000000004,720238.9809290386,-566756.5009290385,566756.5009290385
800809.9700000002,234181.64070620082,566628.3292937994,566628.3292937994
1086568.9599999995,521238.4392674694,565330.5207325302,565330.5207325302
1183049.220000001,618012.5469116741,565036.6730883268,565036.6730883268
1646920.2800000007,1082052.3924154735,564867.8875845273,564867.8875845273
1158830.88,595128.738766195,563702.1412338049,563702.1412338049
265787.4700000002,828230.0167636002,-562442.5467636,562442.5467636
818042.0599999999,260199.61505395817,557842.4449460418,557842.4449460418
757667.6299999995,200346.43315115527,557321.1968488443,557321.1968488443
700068.3500000004,143011.48952787626,557056.8604721242,557056.8604721242
796430.8599999998,239935.6361359523,556495.2238640474,556495.2238640474
660072.8800000002,103700.52812807319,556372.351871927,556372.351871927
719207.1299999994,163063.8367604456,556143.2932395538,556143.2932395538
801703.61,245758.33130293275,555945.2786970672,555945.2786970672
987909.9800000002,432082.68017129286,555827.2998287074,555827.2998287074
865504.3199999995,310529.60078389326,554974.7192161062,554974.7192161062
688459.8799999998,133629.76124744638,554830.1187525534,554830.1187525534
1052177.340000001,498262.51674126694,553914.8232587341,553914.8232587341
817093.3600000003,264715.9017394811,552377.4582605192,552377.4582605192
1048084.6200000002,496266.2909828242,551818.3290171761,551818.3290171761
720779.8600000002,169094.10430506832,551685.7556949318,551685.7556949318
726215.5600000008,1274487.6965685536,-548272.1365685528,548272.1365685528
868664.6199999993,320408.10883117944,548256.5111688199,548256.5111688199
2105544.1799999983,1558448.4394674196,547095.7405325787,547095.7405325787
1434773.0499999989,887698.237477241,547074.8125227579,547074.8125227579
984108.5100000004,437046.1323252976,547062.3776747028,547062.3776747028
895187.08,348226.0690040026,546961.0109959973,546961.0109959973
815772.5099999998,269168.9380571474,546603.5719428523,546603.5719428523
848711.1500000003,302303.3715298038,546407.7784701965,546407.7784701965
1273736.84,727952.1268829261,545784.713117074,545784.713117074
1099539.0000000002,553981.882904642,545557.1170953582,545557.1170953582
1660352.3399999994,1115889.5932377481,544462.7467622512,544462.7467622512
1347885.6999999997,803973.2830170345,543912.4169829652,543912.4169829652
1040407.8500000001,499453.8296774859,540954.0203225142,540954.0203225142
1216080.0099999998,675256.6832224196,540823.3267775802,540823.3267775802
290171.68000000017,830819.869469276,-540648.1894692759,540648.1894692759
167372.21999999988,707838.8932898336,-540466.6732898337,540466.6732898337
829731.7500000007,289602.61324342864,540129.136756572,540129.136756572
882795.7300000002,343749.59522427345,539046.1347757268,539046.1347757268
1290393.99,751886.7547128042,538507.2352871958,538507.2352871958
766636.9500000001,228381.18722215976,538255.7627778403,538255.7627778403
699889.7700000001,162486.69661369483,537403.0733863052,537403.0733863052
813250.9499999995,275954.49417550256,537296.4558244969,537296.4558244969
1398949.969999999,862119.4896280131,536830.4803719859,536830.4803719859
760956.4499999998,224349.84781458584,536606.6021854139,536606.6021854139
959082.8299999997,422889.1811226306,536193.6488773691,536193.6488773691
870757.3800000002,335744.937986476,535012.4420135242,535012.4420135242
845477.0999999999,311434.71095425665,534042.3890457433,534042.3890457433
884410.9900000007,350511.55809894693,533899.4319010538,533899.4319010538
670740.9199999996,137926.80616292663,532814.113837073,532814.113837073
1327726.2100000011,795081.9893998755,532644.2206001256,532644.2206001256
1284702.67,752410.6770758481,532291.9929241518,532291.9929241518
969418.9999999997,437295.56300376303,532123.4369962367,532123.4369962367
181545.11,713657.6674324363,-532112.5574324363,532112.5574324363
1118238.2500000007,586321.7936980579,531916.4563019428,531916.4563019428
773255.7299999997,241707.8715546693,531547.8584453304,531547.8584453304
733448.0599999995,202841.75175832285,530606.3082416767,530606.3082416767
790311.1899999995,260091.22174538186,530219.9682546176,530219.9682546176
147348.47999999998,677445.4218134758,-530096.9418134758,530096.9418134758
754864.3200000002,225040.15471793344,529824.1652820667,529824.1652820667
666485.8000000002,139274.10388479944,527211.6961152008,527211.6961152008
1318851.42,792384.7111630419,526466.708836958,526466.708836958
131724.64,658169.3833348631,-526444.7433348631,526444.7433348631
222128.22999999995,748515.7498114734,-526387.5198114734,526387.5198114734
217651.85000000018,743088.6604689528,-525436.8104689526,525436.8104689526
683879.1599999999,158681.04331947773,525198.1166805222,525198.1166805222
683371.3999999997,160899.25299676575,522472.1470032339,522472.1470032339
944563.65,422281.58287127555,522282.0671287245,522282.0671287245
591907.93,69746.35617291329,522161.5738270868,522161.5738270868
823033.3600000003,301391.5876651468,521641.77233485354,521641.77233485354
595199.2000000004,73775.75904913065,521423.44095086976,521423.44095086976
1050593.0599999996,530499.081467727,520093.9785322726,520093.9785322726
700082.12,180219.98698619878,519862.1330138012,519862.1330138012
787208.9399999994,267871.250606892,519337.6893931074,519337.6893931074
1336691.8299999998,818172.9622230653,518518.8677769345,518518.8677769345
692870.6300000002,174939.82389077698,517930.8061092233,517930.8061092233
1034989.5000000005,517279.5310436,517709.96895640047,517709.96895640047
835198.8100000005,317907.3919479896,517291.41805201094,517291.41805201094
1264632.919999999,749128.0706695685,515504.8493304305,515504.8493304305
127850.3800000001,643019.9731790819,-515169.5931790818,515169.5931790818
678558.0699999994,163668.01448207156,514890.0555179278,514890.0555179278
668609.9599999998,154984.04315282832,513625.9168471715,513625.9168471715
620569.0399999998,107421.60265385539,513147.4373461444,513147.4373461444
651833.2600000001,139978.30029089085,511854.9597091093,511854.9597091093
932590.0700000003,420936.87276368955,511653.19723631075,511653.19723631075
1047139.7700000007,535917.7678678132,511222.0021321875,511222.0021321875
709692.7700000001,198778.99243852342,510913.7775614767,510913.7775614767
599540.9599999995,90810.74114987085,508730.21885012864,508730.21885012864
565190.3900000004,57122.21584484929,508068.17415515106,508068.17415515106
1391684.199999999,884945.4448626938,506738.75513730524,506738.75513730524
982973.9999999993,477040.7739484583,505933.226051541,505933.226051541
249270.61000000013,754325.7612501326,-505055.1512501325,505055.1512501325
800048.7400000001,295693.9682536618,504354.7717463383,504354.7717463383
767795.2599999997,263852.83875955513,503942.4212404445,503942.4212404445
786711.9499999997,283165.10449273774,503546.845507262,503546.845507262
1450984.470000001,948056.7557675258,502927.71423247515,502927.71423247515
701818.5500000005,199338.42815886243,502480.1218411381,502480.1218411381
1196095.12,693851.2046086771,502243.91539132304,502243.91539132304
1092482.759999999,591377.4702589213,501105.2897410778,501105.2897410778
945896.6100000002,445830.9822831189,500065.62771688134,500065.62771688134
734196.2400000006,235457.7178309606,498738.52216903993,498738.52216903993
654682.1900000005,156329.40184952415,498352.7881504764,498352.7881504764
1177036.0000000002,678841.7177232276,498194.28227677266,498194.28227677266
696003.4299999999,199165.49930289172,496837.9306971082,496837.9306971082
1185691.07,690099.343664235,495591.7263357651,495591.7263357651
166414.28000000003,661914.1303798389,-495499.85037983884,495499.85037983884
744437.5200000006,249767.07252774187,494670.4474722587,494670.4474722587
702204.7200000002,208091.72619479138,494112.9938052088,494112.9938052088
550580.8899999995,56822.36047196042,493758.52952803916,493758.52952803916
762959.43,269329.96700105764,493629.4629989424,493629.4629989424
843768.3199999994,350300.8676071126,493467.45239288674,493467.45239288674
836417.7600000002,343197.9359750332,493219.82402496703,493219.82402496703
1142482.8800000008,650004.441738966,492478.4382610348,492478.4382610348
736273.2799999997,244141.34905405575,492131.9309459439,492131.9309459439
748523.2899999996,256858.63428702948,491664.65571297007,491664.65571297007
1030618.7699999998,539270.1371790263,491348.6328209735,491348.6328209735
948755.1500000001,457961.97075396654,490793.1792460336,490793.1792460336
684391.2099999996,193728.60742144214,490662.60257855745,490662.60257855745
672260.6699999998,181704.5965185998,490556.07348140003,490556.07348140003
